""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
排名,队员,位置,出场次数,MVP次数,总击杀(场均),总助攻(场均),总死亡(场均),KDA,场均金钱,场均补刀,场均插眼,场均排眼,场均参团率,场均对位经济差,伤害占比,经济占比
96,Leyan,打野,17,4,90(2.1),228(5.4),123(2.9),3,10874,195,12,16,66%,223,15%,19%
97,QiuQiu,辅助,16,1,31(0.7),312(7.8),161(4),3,7293,32,51,9,64%,-249,7%,12%
98,ON,辅助,16,1,21(0.5),285(7.1),140(3.5),3,7634,39,62,14,61%,88,7%,12%
99,Cube,上单,17,8,114(2.7),159(3.7),109(2.5),3,13026,274,14,6,56%,848,26%,22%
100,iBoy,ADC,17,3,126(3),169(4),109(2.5),3,13644,304,10,14,61%,-693,25%,24%
101,yuyanjia,辅助,14,0,27(0.7),220(6.4),106(3.1),3,7055,31,49,8,65%,-372,6%,12%
102,New,上单,16,1,77(1.9),138(3.4),108(2.7),3,11295,240,12,4,54%,-1179,23%,21%
103,Zorah,辅助,3,0,6(0.7),65(8.1),38(4.7),2,8024,35,62,11,70%,-53,7%,12%
104,neny,上单,4,0,10(1.2),31(3.8),17(2.1),2,11262,253,11,9,64%,-1467,26%,21%
105,View,打野,7,1,34(2.2),51(3.4),48(3.2),2,9342,152,11,9,72%,-1395,17%,19%
106,Chieftain,打野,10,1,41(1.7),110(4.5),83(3.4),2,9130,147,13,11,65%,-1329,12%,17%
107,xiaoyueji,ADC,4,0,28(3.5),20(2.5),31(3.8),2,12358,273,13,10,61%,-1876,24%,23%
108,Mole,中单,2,0,13(2.6),31(6.2),20(4),2,12536,258,17,12,69%,-1895,26%,19%
109,Lpc,ADC,2,0,15(3),20(4),16(3.2),2,12025,259,13,3,68%,-3199,25%,22%
110,frigid,打野,7,0,27(1.6),69(4.3),59(3.6),2,8956,146,12,10,56.9%,-1251,12%,17%
111,Ke,辅助,1,0,2(1),6(3),5(2.5),1,6690,21,46,10,72%,-629,5%,13%
112,Kui,打野,1,0,3(1.5),3(1.5),9(4.5),1,9436,145,12,12,42%,-1300,12%,18%
113,Garvey,上单,3,0,3(0.7),11(2.7),12(3),1,11892,261,14,8,42%,-1727,24%,22%
""
